,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_missing,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_missing,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_missing,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
39,39,1,29,6,2,2,23034.0,1992,21042.0,0.759,2514,32,0.684,0.086,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
40,48,3,36,4,1,2,2544.0,0,2544.0,0.759,3593,64,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
41,50,3,42,4,5,3,34516.0,2099,32417.0,0.449,1756,35,0.25,0.061,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
42,46,2,32,4,3,2,2619.0,2271,348.0,0.61,3835,60,0.818,0.867,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
43,34,0,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
44,51,2,36,3,1,4,1495.0,0,1495.0,0.528,2220,50,0.562,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
45,63,0,56,2,2,2,7264.0,851,6413.0,0.814,3527,69,0.816,0.117,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
46,50,3,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
47,39,2,27,3,3,2,34516.0,1629,32887.0,1.078,3448,53,1.038,0.047,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
48,49,2,42,6,1,2,3017.0,786,2231.0,1.081,1640,37,0.762,0.261,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
49,37,2,36,4,2,2,7638.0,947,6691.0,0.682,2336,58,0.611,0.124,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
50,49,4,41,5,1,2,6250.0,644,5606.0,1.06,2433,41,1.158,0.103,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
51,44,5,37,3,1,1,17785.0,1259,16526.0,0.806,3890,72,1.118,0.071,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
52,62,1,49,3,1,2,2437.0,1400,1037.0,0.779,1651,32,1.0,0.574,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
53,49,2,39,2,3,4,14839.0,512,14327.0,0.176,1453,26,0.13,0.035,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
54,42,3,36,6,3,3,2837.0,834,2003.0,0.427,3892,69,0.408,0.294,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
55,53,3,44,4,2,0,9025.0,1005,8020.0,0.568,4412,87,0.706,0.111,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
56,40,2,31,5,1,2,18693.0,2052,16641.0,0.5,1516,44,0.63,0.11,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
57,56,1,50,2,3,3,5338.0,0,5338.0,0.919,4139,69,0.865,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
58,51,1,36,2,3,2,2710.0,0,2710.0,0.999,4724,60,0.395,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
59,51,2,31,5,3,2,1438.3,327,1111.3,0.528,1783,40,0.481,0.227,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
60,45,3,36,3,2,4,4209.0,1300,2909.0,0.75,16078,105,0.615,0.309,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
61,41,2,25,4,2,3,4277.0,2186,2091.0,0.804,8764,69,0.683,0.511,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
62,44,3,32,4,2,2,34516.0,1344,33172.0,0.523,4795,92,0.673,0.039,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
63,61,1,47,5,3,4,1438.3,847,591.3,0.436,1397,43,0.483,0.589,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
64,45,3,34,4,2,1,5056.0,0,5056.0,0.905,4428,78,0.696,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
65,48,3,36,5,2,1,1438.3,0,1438.3,0.646,4490,65,0.625,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
66,53,0,34,3,1,4,20231.0,1434,18797.0,0.543,5002,78,0.66,0.071,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
67,38,3,32,5,1,0,26945.0,727,26218.0,0.687,1579,40,0.6,0.027,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
68,39,2,35,1,3,3,32089.0,1971,30118.0,0.671,13796,121,0.833,0.061,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
69,44,2,31,3,3,3,1506.0,168,1338.0,0.671,2312,44,0.467,0.112,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
70,49,2,34,4,1,4,5176.0,0,5176.0,0.838,1902,56,0.931,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
71,51,3,36,6,2,2,1936.0,0,1936.0,0.705,4072,72,0.756,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
72,40,4,25,6,2,1,25060.0,0,25060.0,0.758,3749,61,0.743,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
73,44,1,33,3,2,4,2540.0,0,2540.0,0.212,1531,31,0.107,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
74,55,1,36,3,2,3,6968.0,1430,5538.0,0.95,4037,69,1.029,0.205,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
75,41,4,37,3,2,3,4650.0,204,4446.0,0.685,2014,54,0.8,0.044,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
76,45,3,34,4,3,1,3223.0,243,2980.0,0.433,1979,38,0.462,0.075,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
77,40,2,26,3,2,1,2708.0,0,2708.0,0.572,4277,90,0.636,0.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
78,48,4,36,6,1,4,2464.0,1867,597.0,0.6,1219,35,1.333,0.758,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
79,45,3,39,6,2,2,29003.0,2323,26680.0,0.671,1676,36,0.714,0.08,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
80,43,3,38,2,2,2,1530.0,0,1530.0,0.642,5138,84,0.68,0.0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
81,48,5,38,5,3,2,1605.0,1300,305.0,0.95,4495,67,0.718,0.81,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
82,40,2,26,1,3,1,5238.0,2077,3161.0,0.656,7321,73,0.659,0.397,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
83,44,4,31,3,3,2,3228.0,0,3228.0,0.747,4524,70,0.667,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
84,52,3,41,3,3,4,6060.0,1687,4373.0,0.563,3953,65,0.711,0.278,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
85,52,2,43,1,2,2,34516.0,1588,32928.0,0.745,7512,81,0.688,0.046,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
86,31,1,20,6,2,5,2469.0,1695,774.0,0.842,1615,36,0.333,0.687,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
87,41,3,33,2,2,2,20749.0,2171,18578.0,0.842,4754,77,0.674,0.105,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
88,33,3,13,5,3,3,1630.0,1008,622.0,0.695,4143,67,0.595,0.618,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
89,65,0,56,3,6,3,5894.0,477,5417.0,1.015,1616,32,0.455,0.081,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
90,50,2,42,1,3,2,34162.0,1723,32439.0,0.429,7572,56,0.697,0.05,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
91,51,3,36,6,5,2,3417.0,1482,1935.0,0.705,3651,60,0.818,0.434,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
92,40,1,25,3,3,1,3758.0,2047,1711.0,1.108,4928,79,0.646,0.545,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
93,56,4,49,5,1,3,14915.0,1111,13804.0,0.846,1388,35,0.667,0.074,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
94,46,2,39,2,2,3,34516.0,1381,33135.0,0.949,14696,114,0.966,0.04,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
95,46,2,40,5,2,2,6568.0,0,6568.0,0.101,1507,33,0.222,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
96,49,3,42,2,2,3,14072.0,1917,12155.0,0.653,13432,107,0.981,0.136,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
97,47,3,34,3,3,2,1561.0,0,1561.0,0.502,1947,28,0.556,0.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
98,49,5,36,4,2,3,2598.0,1848,750.0,0.547,4396,78,0.814,0.711,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
99,41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
100,37,3,26,4,2,2,23622.0,1153,22469.0,0.666,2574,65,0.625,0.049,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
101,34,2,36,3,4,2,22886.0,836,22050.0,0.889,2652,61,0.743,0.037,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
102,42,4,27,5,3,4,31864.0,0,31864.0,1.009,1591,35,0.75,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
103,57,4,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104,49,4,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
105,44,2,37,6,2,1,4559.0,1680,2879.0,0.628,4934,76,0.949,0.369,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
106,47,2,37,6,2,1,15109.0,897,14212.0,0.494,2315,43,0.303,0.059,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
107,54,3,39,3,1,3,2112.0,1594,518.0,1.204,1338,29,2.222,0.755,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
108,32,0,36,6,3,2,8791.0,0,8791.0,0.894,2579,51,0.594,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
109,55,3,48,4,3,2,3968.0,1374,2594.0,0.703,4641,65,0.711,0.346,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
110,63,0,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
111,50,1,37,4,1,4,9758.0,1792,7966.0,0.626,4134,60,0.765,0.184,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
112,36,2,20,4,3,2,9735.0,1245,8490.0,1.079,2967,80,0.739,0.128,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
113,51,1,35,3,3,2,9589.0,628,8961.0,0.695,3971,66,0.784,0.065,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
114,46,5,33,6,3,3,32975.0,2517,30458.0,0.658,597,17,0.7,0.076,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
115,50,0,45,3,2,2,2135.0,1506,629.0,0.883,4821,77,0.711,0.705,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
116,47,3,43,4,3,2,13473.0,1335,12138.0,0.814,1593,46,0.484,0.099,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
117,42,4,37,4,3,2,2411.0,1797,614.0,0.607,4331,63,0.5,0.745,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
118,50,4,36,4,2,2,6465.0,1863,4602.0,0.399,4490,68,0.789,0.288,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
119,39,3,23,6,1,4,2718.0,2156,562.0,0.668,1711,36,0.44,0.793,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
120,50,2,43,5,3,4,3424.0,0,3424.0,0.765,4929,74,0.574,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
121,54,2,46,5,3,2,3014.0,794,2220.0,0.5,1488,30,0.579,0.263,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
122,41,3,27,6,1,2,2134.0,1085,1049.0,0.656,4224,75,1.027,0.508,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
123,50,1,36,1,1,3,10417.0,2290,8127.0,1.122,4871,75,1.027,0.22,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
124,39,2,36,6,2,3,1578.0,760,818.0,0.709,2017,43,0.955,0.482,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
125,31,0,25,5,2,2,5715.0,1741,3974.0,0.816,2324,67,1.03,0.305,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
126,39,3,31,6,2,4,8434.0,2222,6212.0,0.691,1414,27,0.929,0.263,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
127,52,2,36,3,1,3,4950.0,1829,3121.0,0.671,4529,73,0.872,0.369,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
128,40,3,28,3,3,3,2690.0,1935,755.0,0.593,4917,81,0.653,0.719,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
129,31,0,36,4,2,0,5391.0,0,5391.0,1.075,1971,56,0.6,0.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
130,35,4,30,6,3,4,1626.0,979,647.0,1.467,2847,61,0.968,0.602,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
131,41,3,29,6,3,3,2429.0,1966,463.0,1.046,4775,84,0.787,0.809,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
132,35,2,30,3,3,1,4549.0,1193,3356.0,0.445,1914,33,0.5,0.262,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
133,37,2,36,3,2,2,12944.0,1399,11545.0,0.507,4389,84,0.68,0.108,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
134,36,1,32,4,4,3,15488.0,1463,14025.0,1.28,2916,50,0.724,0.094,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
135,49,4,41,3,1,1,7184.0,1207,5977.0,0.657,3244,58,1.0,0.168,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
136,44,3,36,1,3,2,10908.0,0,10908.0,0.983,4883,42,0.5,0.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
137,50,1,38,3,1,4,4182.0,0,4182.0,0.853,4693,82,0.608,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
138,55,4,44,3,1,1,1912.0,0,1912.0,0.783,4666,98,0.719,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
139,63,0,55,6,2,2,1651.0,1433,218.0,0.985,4050,58,0.611,0.868,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
140,38,2,24,4,1,5,17162.0,773,16389.0,1.238,2457,54,1.0,0.045,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
141,55,2,47,6,1,3,5794.0,0,5794.0,0.732,4201,73,0.587,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
142,62,2,48,6,3,2,5844.0,2013,3831.0,0.478,3546,65,0.548,0.344,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
